NAME                                    VERSION                 TYPE   
@colors/colors                          1.5.0                   npm     
@gar/promisify                          1.1.3                   npm     
@isaacs/cliui                           8.0.2                   npm     
@isaacs/string-locale-compare           1.1.0                   npm     
@npmcli/arborist                        6.2.9                   npm     
@npmcli/config                          6.1.6                   npm     
@npmcli/disparity-colors                3.0.0                   npm     
@npmcli/fs                              2.1.2                   npm     
@npmcli/fs                              3.1.0                   npm     
@npmcli/git                             4.0.4                   npm     
@npmcli/installed-package-contents      2.0.2                   npm     
@npmcli/map-workspaces                  3.0.4                   npm     
@npmcli/metavuln-calculator             5.0.1                   npm     
@npmcli/move-file                       2.0.1                   npm     
@npmcli/name-from-folder                2.0.0                   npm     
@npmcli/node-gyp                        3.0.0                   npm     
@npmcli/package-json                    3.0.0                   npm     
@npmcli/promise-spawn                   6.0.2                   npm     
@npmcli/query                           3.0.0                   npm     
@npmcli/run-script                      6.0.1                   npm     
@pkgjs/parseargs                        0.11.0                  npm     
@sigstore/protobuf-specs                0.1.0                   npm     
@tootallnate/once                       2.0.0                   npm     
@tufjs/canonical-json                   1.0.0                   npm     
@tufjs/models                           1.0.4                   npm     
CacheControl                            0.12.11                 python  
SecretStorage                           3.3.3                   python  
Simple Launcher Executable              1.1.0.14                dotnet  
abbrev                                  1.1.1                   npm     
abbrev                                  2.0.0                   npm     
abort-controller                        3.0.0                   npm     
agent-base                              6.0.2                   npm     
agentkeepalive                          4.3.0                   npm     
aggregate-error                         3.1.0                   npm     
alpine-baselayout                       3.4.3-r1                apk     
alpine-baselayout-data                  3.4.3-r1                apk     
alpine-keys                             2.4-r1                  apk     
ansi-regex                              5.0.1                   npm     
ansi-regex                              6.0.1                   npm     
ansi-styles                             4.3.0                   npm     
ansi-styles                             6.2.1                   npm     
apk-tools                               2.14.0-r2               apk     
aproba                                  2.0.0                   npm     
archy                                   1.0.0                   npm     
are-we-there-yet                        3.0.1                   npm     
are-we-there-yet                        4.0.0                   npm     
argon2-libs                             20190702-r4             apk     
attrs                                   23.1.0                  python  
balanced-match                          1.0.2                   npm     
base64-js                               1.5.1                   npm     
bash                                    5.2.15-r5               apk     
bin-links                               4.0.1                   npm     
binary-extensions                       2.2.0                   npm     
binutils                                2.40-r7                 apk     
boost1.82-python3                       1.82.0-r1               apk     
brace-expansion                         1.1.11                  npm     
brace-expansion                         2.0.1                   npm     
brotli-libs                             1.0.9-r14               apk     
buffer                                  6.0.3                   npm     
build                                   0.10.0                  python  
build-base                              0.5-r3                  apk     
builtins                                5.0.1                   npm     
busybox                                 1.36.1-r2               apk     
busybox-binsh                           1.36.1-r2               apk     
c-ares                                  1.19.1-r0               apk     
ca-certificates                         20230506-r0             apk     
ca-certificates-bundle                  20230506-r0             apk     
cacache                                 16.1.3                  npm     
cacache                                 17.1.0                  npm     
cairo                                   1.17.8-r1               apk     
cairo-gobject                           1.17.8-r1               apk     
cargo                                   1.71.1-r0               apk     
certifi                                 2023.5.7                python  
cffi                                    1.15.1                  python  
cfitsio                                 4.2.0-r1                apk     
cgif                                    0.3.1-r1                apk     
chalk                                   4.1.2                   npm     
charset-normalizer                      3.1.0                   python  
chownr                                  2.0.0                   npm     
ci-info                                 3.8.0                   npm     
cidr-regex                              3.1.1                   npm     
clean-stack                             2.2.0                   npm     
cleo                                    2.0.1                   python  
cli-columns                             4.0.0                   npm     
cli-table3                              0.6.3                   npm     
clone                                   1.0.4                   npm     
cmd-shim                                6.0.1                   npm     
color-convert                           2.0.1                   npm     
color-name                              1.1.4                   npm     
color-support                           1.1.3                   npm     
columnify                               1.6.0                   npm     
common-ancestor-path                    1.0.1                   npm     
composer                                2.5.8-r0                apk     
concat-map                              0.0.1                   npm     
console-control-strings                 1.1.0                   npm     
coreutils                               9.3-r1                  apk     
crashtest                               0.4.1                   python  
cross-spawn                             7.0.3                   npm     
cryptography                            40.0.2                  python  
cssesc                                  3.0.0                   npm     
curl                                    8.2.1-r0                apk     
debug                                   4.3.4                   npm     
defaults                                1.0.4                   npm     
delegates                               1.0.0                   npm     
depd                                    2.0.0                   npm     
diff                                    5.1.0                   npm     
distlib                                 0.3.6                   python  
dulwich                                 0.21.5                  python  
eastasianwidth                          0.2.0                   npm     
emoji-regex                             8.0.0                   npm     
emoji-regex                             9.2.2                   npm     
encoding                                0.1.13                  npm     
env-paths                               2.2.1                   npm     
err-code                                2.0.3                   npm     
event-target-shim                       5.0.1                   npm     
events                                  3.3.0                   npm     
fastest-levenshtein                     1.0.16                  npm     
fftw-double-libs                        3.3.10-r2               apk     
file                                    5.45-r0                 apk     
